POPC	C23,H3R,H3S,C24,H4R,H4S,C25,H5R,H5S,C26,H6R,H6S,C27,H7R,H7S,C28,H8R,H8S,C29,H91,C210,H101,C211,H11R,H11S,C212,H12R,H12S,C213,H13R,H13S,C214,H14R,H14S,C215,H15R,H15S,C216,H16R,H16S,C217,H17R,H17S,C218,H18R,H18S,H18T,C33,H3X,H3Y,C34,H4X,H4Y,C35,H5X,H5Y,C36,H6X,H6Y,C37,H7X,H7Y,C38,H8X,H8Y,C39,H9X,H9Y,C310,H10X,H10Y,C311,H11X,H11Y,C312,H12X,H12Y,C313,H13X,H13Y,C314,H14X,H14Y,C315,H15X,H15Y,C316,H16X,H16Y,H16Z
POPA	C23,H3R,H3S,C24,H4R,H4S,C25,H5R,H5S,C26,H6R,H6S,C27,H7R,H7S,C28,H8R,H8S,C29,H91,C210,H101,C211,H11R,H11S,C212,H12R,H12S,C213,H13R,H13S,C214,H14R,H14S,C215,H15R,H15S,C216,H16R,H16S,C217,H17R,H17S,C218,H18R,H18S,H18T,C33,H3X,H3Y,C34,H4X,H4Y,C35,H5X,H5Y,C36,H6X,H6Y,C37,H7X,H7Y,C38,H8X,H8Y,C39,H9X,H9Y,C310,H10X,H10Y,C311,H11X,H11Y,C312,H12X,H12Y,C313,H13X,H13Y,C314,H14X,H14Y,C315,H15X,H15Y,C316,H16X,H16Y,H16Z
POPG	C23,H3R,H3S,C24,H4R,H4S,C25,H5R,H5S,C26,H6R,H6S,C27,H7R,H7S,C28,H8R,H8S,C29,H91,C210,H101,C211,H11R,H11S,C212,H12R,H12S,C213,H13R,H13S,C214,H14R,H14S,C215,H15R,H15S,C216,H16R,H16S,C217,H17R,H17S,C218,H18R,H18S,H18T,C33,H3X,H3Y,C34,H4X,H4Y,C35,H5X,H5Y,C36,H6X,H6Y,C37,H7X,H7Y,C38,H8X,H8Y,C39,H9X,H9Y,C310,H10X,H10Y,C311,H11X,H11Y,C312,H12X,H12Y,C313,H13X,H13Y,C314,H14X,H14Y,C315,H15X,H15Y,C316,H16X,H16Y,H16Z
POPE	C23,H3R,H3S,C24,H4R,H4S,C25,H5R,H5S,C26,H6R,H6S,C27,H7R,H7S,C28,H8R,H8S,C29,H91,C210,H101,C211,H11R,H11S,C212,H12R,H12S,C213,H13R,H13S,C214,H14R,H14S,C215,H15R,H15S,C216,H16R,H16S,C217,H17R,H17S,C218,H18R,H18S,H18T,C33,H3X,H3Y,C34,H4X,H4Y,C35,H5X,H5Y,C36,H6X,H6Y,C37,H7X,H7Y,C38,H8X,H8Y,C39,H9X,H9Y,C310,H10X,H10Y,C311,H11X,H11Y,C312,H12X,H12Y,C313,H13X,H13Y,C314,H14X,H14Y,C315,H15X,H15Y,C316,H16X,H16Y,H16Z
POPS	C23,H3R,H3S,C24,H4R,H4S,C25,H5R,H5S,C26,H6R,H6S,C27,H7R,H7S,C28,H8R,H8S,C29,H91,C210,H101,C211,H11R,H11S,C212,H12R,H12S,C213,H13R,H13S,C214,H14R,H14S,C215,H15R,H15S,C216,H16R,H16S,C217,H17R,H17S,C218,H18R,H18S,H18T,C33,H3X,H3Y,C34,H4X,H4Y,C35,H5X,H5Y,C36,H6X,H6Y,C37,H7X,H7Y,C38,H8X,H8Y,C39,H9X,H9Y,C310,H10X,H10Y,C311,H11X,H11Y,C312,H12X,H12Y,C313,H13X,H13Y,C314,H14X,H14Y,C315,H15X,H15Y,C316,H16X,H16Y,H16Z
DAPC	C23,H3R,H3S,C24,H4R,H4S,C25,H5R,C26,H6R,C27,H7R,H7S,C28,H8R,C29,H9R,C210,H10R,H10S,C211,H11R,C212,H12R,C213,H13R,H13S,C214,H14R,C215,H15R,C216,H16R,H16S,C217,H17R,H17S,C218,H18R,H18S,C219,H19R,H19S,C220,H20R,H20S,H20T,C33,H3X,H3Y,C34,H4X,H4Y,C35,H5X,C36,H6X,C37,H7X,H7Y,C38,H8X,C39,H9X,C310,H10X,H10Y,C311,H11X,C312,H12X,C313,H13X,H13Y,C314,H14X,C315,H15X,C316,H16X,H16Y,C317,H17X,H17Y,C318,H18X,H18Y,C319,H19X,H19Y
LPPC	C2,HS,HR,C33,H3X,H3Y,C34,H4X,H4Y,C35,H5X,H5Y,C36,H6X,H6Y,C37,H7X,H7Y,C38,H8X,H8Y,C39,H9X,H9Y,C310,H10X,H10Y,C311,H11X,H11Y,C312,H12X,H12Y,H12Z
DLPS	C23,H3R,H3S,C24,H4R,H4S,C25,H5R,H5S,C26,H6R,H6S,C27,H7R,H7S,C28,H8R,H8S,C29,H9R,H9S,C210,H10R,H10S,C211,H11R,H11S,C212,H12R,H12S,H12T,C33,H3X,H3Y,C34,H4X,H4Y,C35,H5X,H5Y,C36,H6X,H6Y,C37,H7X,H7Y,C38,H8X,H8Y,C39,H9X,H9Y,C310,H10X,H10Y,C311,H11X,H11Y,C312,H12X,H12Y,H12Z
DMPS	C23,H3R,H3S,C24,H4R,H4S,C25,H5R,H5S,C26,H6R,H6S,C27,H7R,H7S,C28,H8R,H8S,C29,H9R,H9S,C210,H10R,H10S,C211,H11R,H11S,C212,H12R,H12S,C213,H13R,H13S,C214,H14R,H14S,H14T,C33,H3X,H3Y,C34,H4X,H4Y,C35,H5X,H5Y,C36,H6X,H6Y,C37,H7X,H7Y,C38,H8X,H8Y,C39,H9X,H9Y,C310,H10X,H10Y,C311,H11X,H11Y,C312,H12X,H12Y,C313,H13X,H13Y,C314,H14X,H14Y,H14Z
DLPE	C23,H3R,H3S,C24,H4R,H4S,C25,H5R,H5S,C26,H6R,H6S,C27,H7R,H7S,C28,H8R,H8S,C29,H9R,H9S,C210,H10R,H10S,C211,H11R,H11S,C212,H12R,H12S,H12T,C33,H3X,H3Y,C34,H4X,H4Y,C35,H5X,H5Y,C36,H6X,H6Y,C37,H7X,H7Y,C38,H8X,H8Y,C39,H9X,H9Y,C310,H10X,H10Y,C311,H11X,H11Y,C312,H12X,H12Y,H12Z
